Date,Team 1,FT,HT,Team 2,Season
Sat Feb 24 2024,Gaziantep,0-2,0-0,Buyuksehyr,2023-24
Sat Feb 24 2024,Fenerbahce,2-1,0-0,Kasimpasa,2023-24
Sat Feb 24 2024,Konyaspor,2-0,0-0,Hatayspor,2023-24
Sun Feb 25 2024,Sivasspor,4-1,1-1,Pendikspor,2023-24
Sun Feb 25 2024,Karagumruk,1-1,1-0,Alanyaspor,2023-24
Sun Feb 25 2024,Trabzonspor,1-0,1-0,Ad. Demirspor,2023-24
Sun Feb 25 2024,Istanbulspor,0-2,0-1,Besiktas,2023-24
Mon Feb 26 2024,Galatasaray,2-1,2-1,Antalyaspor,2023-24
Fri Mar 1 2024,Kasimpasa,0-0,0-0,Sivasspor,2023-24
Sat Mar 2 2024,Ankaragucu,1-1,0-1,Istanbulspor,2023-24
Sat Mar 2 2024,Rizespor,3-0,0-0,Kayserispor,2023-24
Sat Mar 2 2024,Hatayspor,0-2,0-2,Fenerbahce,2023-24
Sun Mar 3 2024,Buyuksehyr,1-0,0-0,Samsunspor,2023-24
Sun Mar 3 2024,Pendikspor,0-2,0-1,Konyaspor,2023-24
Sun Mar 3 2024,Besiktas,0-1,0-1,Galatasaray,2023-24
Mon Mar 4 2024,Ad. Demirspor,1-0,1-0,Karagumruk,2023-24
Mon Mar 4 2024,Alanyaspor,3-1,2-0,Trabzonspor,2023-24
Mon Mar 4 2024,Antalyaspor,1-0,1-0,Gaziantep,2023-24
Fri Mar 8 2024,Galatasaray,6-2,4-1,Rizespor,2023-24
Sat Mar 9 2024,Sivasspor,1-2,0-0,Alanyaspor,2023-24
Sat Mar 9 2024,Konyaspor,2-2,2-1,Ad. Demirspor,2023-24
Sat Mar 9 2024,Buyuksehyr,1-0,0-0,Antalyaspor,2023-24
Sat Mar 9 2024,Trabzonspor,5-1,1-1,Karagumruk,2023-24
Sun Mar 10 2024,Kayserispor,1-1,1-1,Hatayspor,2023-24
Sun Mar 10 2024,Istanbulspor,1-2,1-0,Kasimpasa,2023-24
Sun Mar 10 2024,Samsunspor,2-1,1-1,Ankaragucu,2023-24
Sun Mar 10 2024,Fenerbahce,4-1,0-1,Pendikspor,2023-24
Mon Mar 11 2024,Gaziantep,2-0,1-0,Besiktas,2023-24
Fri Mar 15 2024,Karagumruk,1-1,0-1,Konyaspor,2023-24
Fri Mar 15 2024,Pendikspor,1-0,0-0,Istanbulspor,2023-24
Sat Mar 16 2024,Alanyaspor,1-0,0-0,Kayserispor,2023-24
Sat Mar 16 2024,Ankaragucu,2-1,0-0,Buyuksehyr,2023-24
Sat Mar 16 2024,Ad. Demirspor,4-1,1-0,Sivasspor,2023-24
Sat Mar 16 2024,Besiktas,1-2,0-2,Antalyaspor,2023-24
Sun Mar 17 2024,Rizespor,3-1,0-0,Gaziantep,2023-24
Sun Mar 17 2024,Hatayspor,3-0,1-0,Samsunspor,2023-24
Sun Mar 17 2024,Kasimpasa,3-4,1-1,Galatasaray,2023-24
Sun Mar 17 2024,Trabzonspor,2-3,0-2,Fenerbahce,2023-24
Tue Apr 2 2024,Istanbulspor,0-4,0-2,Rizespor,2023-24
Tue Apr 2 2024,Antalyaspor,1-1,1-0,Ankaragucu,2023-24
Tue Apr 2 2024,Galatasaray,1-0,1-0,Hatayspor,2023-24
Tue Apr 2 2024,Gaziantep,0-3,0-2,Alanyaspor,2023-24
Wed Apr 3 2024,Sivasspor,1-0,0-0,Karagumruk,2023-24
Wed Apr 3 2024,Fenerbahce,4-2,1-1,Ad. Demirspor,2023-24
Wed Apr 3 2024,Kayserispor,0-2,0-1,Kasimpasa,2023-24
Wed Apr 3 2024,Konyaspor,1-3,0-1,Trabzonspor,2023-24
Thu Apr 4 2024,Buyuksehyr,1-1,0-1,Besiktas,2023-24
Thu Apr 4 2024,Samsunspor,0-0,0-0,Pendikspor,2023-24
Fri Apr 12 2024,Trabzonspor,0-1,0-0,Sivasspor,2023-24
Sat Apr 13 2024,Kasimpasa,0-2,0-1,Konyaspor,2023-24
Sat Apr 13 2024,Ankaragucu,3-1,1-1,Gaziantep,2023-24
Sat Apr 13 2024,Ad. Demirspor,0-0,0-0,Kayserispor,2023-24
Sat Apr 13 2024,Besiktas,1-1,1-0,Samsunspor,2023-24
Sun Apr 14 2024,Pendikspor,2-3,1-1,Buyuksehyr,2023-24
Sun Apr 14 2024,Hatayspor,0-3,0-0,Istanbulspor,2023-24
Sun Apr 14 2024,Rizespor,3-0,1-0,Antalyaspor,2023-24
Sun Apr 14 2024,Karagumruk,1-2,1-0,Fenerbahce,2023-24
Mon Apr 15 2024,Alanyaspor,0-4,0-0,Galatasaray,2023-24
Fri Apr 19 2024,Besiktas,2-0,1-0,Ankaragucu,2023-24
Sat Apr 20 2024,Istanbulspor,1-2,0-0,Karagumruk,2023-24
Sat Apr 20 2024,Konyaspor,0-2,0-1,Alanyaspor,2023-24
Sat Apr 20 2024,Kayserispor,1-2,0-1,Trabzonspor,2023-24
Sat Apr 20 2024,Samsunspor,1-1,0-1,Ad. Demirspor,2023-24
Sun Apr 21 2024,Buyuksehyr,2-0,1-0,Rizespor,2023-24
Sun Apr 21 2024,Antalyaspor,2-1,0-1,Hatayspor,2023-24
Sun Apr 21 2024,Galatasaray,4-1,2-0,Pendikspor,2023-24
Sun Apr 21 2024,Gaziantep,2-0,2-0,Kasimpasa,2023-24
Mon Apr 22 2024,Sivasspor,2-2,0-1,Fenerbahce,2023-24
Fri Apr 26 2024,Ad. Demirspor,0-3,0-0,Galatasaray,2023-24
Sat Apr 27 2024,Kasimpasa,1-0,1-0,Samsunspor,2023-24
Sat Apr 27 2024,Sivasspor,1-0,0-0,Konyaspor,2023-24
Sat Apr 27 2024,Fenerbahce,2-1,1-0,Besiktas,2023-24
Sat Apr 27 2024,Hatayspor,1-2,0-1,Buyuksehyr,2023-24
Sun Apr 28 2024,Alanyaspor,6-0,3-0,Istanbulspor,2023-24
Sun Apr 28 2024,Pendikspor,1-2,1-1,Kayserispor,2023-24
Sun Apr 28 2024,Rizespor,2-2,2-0,Ankaragucu,2023-24
Sun Apr 28 2024,Trabzonspor,4-2,0-2,Gaziantep,2023-24
Mon Apr 29 2024,Karagumruk,4-1,1-0,Antalyaspor,2023-24
Fri May 3 2024,Ankaragucu,1-1,1-0,Alanyaspor,2023-24
Fri May 3 2024,Besiktas,3-2,1-1,Rizespor,2023-24
Sat May 4 2024,Istanbulspor,0-1,0-1,Ad. Demirspor,2023-24
Sat May 4 2024,Kayserispor,2-2,1-0,Karagumruk,2023-24
Sat May 4 2024,Samsunspor,3-1,3-1,Trabzonspor,2023-24
Sun May 5 2024,Buyuksehyr,4-1,2-0,Kasimpasa,2023-24
Sun May 5 2024,Galatasaray,6-1,2-0,Sivasspor,2023-24
Sun May 5 2024,Gaziantep,1-1,1-1,Hatayspor,2023-24
Mon May 6 2024,Antalyaspor,1-2,1-2,Pendikspor,2023-24
Mon May 6 2024,Konyaspor,0-0,0-0,Fenerbahce,2023-24
Sun May 12 2024,Ad. Demirspor,1-6,1-3,Gaziantep,2023-24
Sun May 12 2024,Alanyaspor,1-1,0-0,Besiktas,2023-24
Sun May 12 2024,Fenerbahce,3-0,2-0,Kayserispor,2023-24
Sun May 12 2024,Hatayspor,2-1,0-0,Ankaragucu,2023-24
Sun May 12 2024,Karagumruk,2-3,1-1,Galatasaray,2023-24
Sun May 12 2024,Kasimpasa,3-1,2-0,Antalyaspor,2023-24
Sun May 12 2024,Konyaspor,3-0,3-0,Samsunspor,2023-24
Sun May 12 2024,Pendikspor,2-1,0-1,Rizespor,2023-24
Sun May 12 2024,Sivasspor,0-1,0-1,Buyuksehyr,2023-24
Sun May 12 2024,Trabzonspor,3-0,2-0,Istanbulspor,2023-24
Fri May 17 2024,Istanbulspor,1-3,0-2,Sivasspor,2023-24
Fri May 17 2024,Antalyaspor,2-1,1-0,Ad. Demirspor,2023-24
Sat May 18 2024,Ankaragucu,0-0,0-0,Pendikspor,2023-24
Sat May 18 2024,Besiktas,2-2,0-1,Hatayspor,2023-24
Sat May 18 2024,Buyuksehyr,0-1,0-1,Trabzonspor,2023-24
Sat May 18 2024,Gaziantep,3-1,0-0,Karagumruk,2023-24
Sat May 18 2024,Kayserispor,2-2,1-1,Konyaspor,2023-24
Sat May 18 2024,Rizespor,0-0,0-0,Kasimpasa,2023-24
Sat May 18 2024,Samsunspor,1-1,0-1,Alanyaspor,2023-24
Sun May 19 2024,Galatasaray,0-1,0-0,Fenerbahce,2023-24
Fri May 24 2024,Alanyaspor,1-1,1-0,Antalyaspor,2023-24
Sat May 25 2024,Karagumruk,3-1,1-0,Samsunspor,2023-24
Sat May 25 2024,Sivasspor,2-1,1-1,Kayserispor,2023-24
Sun May 26 2024,Ad. Demirspor,2-6,1-4,Buyuksehyr,2023-24
Sun May 26 2024,Fenerbahce,6-0,3-0,Istanbulspor,2023-24
Sun May 26 2024,Hatayspor,2-0,1-0,Rizespor,2023-24
Sun May 26 2024,Kasimpasa,2-1,1-0,Besiktas,2023-24
Sun May 26 2024,Konyaspor,1-3,0-1,Galatasaray,2023-24
Sun May 26 2024,Pendikspor,0-1,0-1,Gaziantep,2023-24
Sun May 26 2024,Trabzonspor,4-2,0-1,Ankaragucu,2023-24
